00000000,ffffefff,ffffffff,ffffffff,f7fbff7f,f7effffe,ff7fff5f,feffeffb,00000000,00000000,00000000,00000000,000016ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,ff797e7d,fdebffdf,d7ffff5f,ffffcdff,00000000,00000000,00000000,00000000,000017ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,fffb7f7f,dfffffff,fdffdf5f,ffff6fff,00000000,00000000,00000000,00000000,000018ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,7fff5f7f,dfffffff,fefff7df,5fff6fff,00000000,00000000,00000000,00000000,000019ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff7fff,ffffffff,f4fbf7d7,3fff7fff,00000000,00000000,00000000,00000000,00001aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffb7fff,edffefff,fefff7d7,df7fffff,00000000,00000000,00000000,00000000,00001bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff7fff,fffffeff,dafff7d7,ceffefff,00000000,00000000,00000000,00000000,00001cff,00000000,00000000,00000000
00000000,fffdffff,ffffffff,ffffffff,efff7fff,efddfeff,daffd5d7,dfffffff,00000000,00000000,00000000,00000000,00001dff,00000000,00000000,00000000
00000000,ffffffff,dfffffff,ffffffff,dfff7fff,efffffff,fcf7f7d7,dcbff7ff,00000000,00000000,00000000,00000000,00001eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fbffffff,fdff7fff,bfffdffb,fafff7d7,dfffefff,00000000,00000000,00000000,00000000,00001fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fdff7fdf,fefffef7,fefbf7d7,dfffb7df,00000000,00000000,00000000,00000000,000020ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff3fff,f7fffeff,deeff7f7,9fffffff,00000000,00000000,00000000,00000000,000021ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7bf7fbf,ffdfbdfd,feeff7f7,5fffbfff,00000000,00000000,00000000,00000000,000022ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff7ffb,fefdfffc,feeff7f7,ddfffeff,00000000,00000000,00000000,00000000,000023ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ff7ff7,ff7ffdff,feefe7f7,dd7fbffd,00000000,00000000,00000000,00000000,000024ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fe7f77df,ffffffff,f6eef7f7,dfffffff,00000000,00000000,00000000,00000000,000025ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff3fef,ffffff7f,f6aff7f7,9ffddfff,00000000,00000000,00000000,00000000,000026ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff7ffb,ffcffeff,feeff6ff,9ffdffbb,00000000,00000000,00000000,00000000,000027ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffbf7fe,efd7fffd,feeff6fe,dff7bfff,00000000,00000000,00000000,00000000,000028ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffffdf,efb7fdff,fdeffadf,dffedffd,00000000,00000000,00000000,00000000,000029ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffdffbdf,efdffdfb,afeffeff,dffffffd,00000000,00000000,00000000,00000000,00002aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fffffffb,ffdbffdf,e7fff9ff,fdeffef7,beffbffd,00000000,00000000,00000000,00000000,00002bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fff7ffff,dffb5ddf,efeffdff,b7eff8ff,fffffffd,00000000,00000000,00000000,00000000,00002cff,00000000,00000000,00000000
00000000,ffefffff,ffffffff,ffffffff,f7fbdddf,effffdff,fdeffeff,ffff7ffd,00000000,00000000,00000000,00000000,00002dff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,ffffdfdf,ebfdffef,dffffaff,7fff5ffd,00000000,00000000,00000000,00000000,00002eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffff9f,ef7dffff,ffdefeff,bfff7ff5,00000000,00000000,00000000,00000000,00002fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffffbdf,ee35ffff,fffeeeff,f7ebffad,00000000,00000000,00000000,00000000,000030ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,eeeeffbf,ef7dffff,ffffffff,fffffff5,00000000,00000000,00000000,00000000,000031ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ee7fef,ef7dfdff,fedbffff,beffbbfd,00000000,00000000,00000000,00000000,000032ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,b9eefdff,effdefbf,effbfbff,ffffffff,00000000,00000000,00000000,00000000,000033ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,bfefefff,ab7defff,2ff7ffff,fff17ffd,00000000,00000000,00000000,00000000,000034ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffefefff,effdffff,2fffefbf,eff73fff,00000000,00000000,00000000,00000000,000035ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffcfffff,eff4ffff,efbfffbf,fff73fff,00000000,00000000,00000000,00000000,000036ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,bfabffff,effffffd,effeffff,bff72ff9,00000000,00000000,00000000,00000000,000037ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,bfefffbf,effff9ff,eedfffff,fff76ffb,00000000,00000000,00000000,00000000,000038ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffbfeffb,efffffff,efffff3b,fff77f7b,00000000,00000000,00000000,00000000,000039ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffbbf7ff,ef77fffb,efff7fdf,fef77ffb,00000000,00000000,00000000,00000000,00003aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,5ffff7ff,ef7ffffd,effeffff,fff57bfb,00000000,00000000,00000000,00000000,00003bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffd7ff,efffefff,ff7fffff,ffff7dfb,00000000,00000000,00000000,00000000,00003cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fe77bf,efbef7ff,fffeffff,edf77fbb,00000000,00000000,00000000,00000000,00003dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7bff7fb,ffeffdef,fffffcff,ebff7fab,00000000,00000000,00000000,00000000,00003eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fdf7ff,ff7fffff,eeddfddf,ffff7fa9,00000000,00000000,00000000,00000000,00003fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fff7db,f77fd7ff,fffefdff,fff77ebb,00000000,00000000,00000000,00000000,000040ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ff777f,ffffefff,fffffdff,ffdbfeb9,00000000,00000000,00000000,00000000,000041ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7f7f7fb,ffffe7ff,fbfffdbf,fffb7fbb,00000000,00000000,00000000,00000000,000042ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ffdfff,afafefff,fffffddf,ffff7fbb,00000000,00000000,00000000,00000000,000043ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f3fd7fff,bf7fe7ff,fffffdff,ffffffbb,00000000,00000000,00000000,00000000,000044ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ffffff,b3ffc7ff,ff7ffdff,fffff7bb,00000000,00000000,00000000,00000000,000045ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7e7ffff,bfffe7ff,fffffddf,fbdffeb9,00000000,00000000,00000000,00000000,000046ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fffffd,bbffeffe,dbfeddff,fdffffba,00000000,00000000,00000000,00000000,000047ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffdfffff,f7ffffff,bfdbefff,bbdffdff,ffffff9b,00000000,00000000,00000000,00000000,000048ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ff7fdd,afefefff,ffdffdff,ffffffda,00000000,00000000,00000000,00000000,000049ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7edefef,bfffafff,ffbfedff,ffffddbb,00000000,00000000,00000000,00000000,00004aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7efffff,3fffefff,bffdddff,ffefbdf9,00000000,00000000,00000000,00000000,00004bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fffffe,bfffe7ff,ffbffdcf,fdfffdfb,00000000,00000000,00000000,00000000,00004cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7bfffff,bdfbdfff,fefffdff,ffffddfb,00000000,00000000,00000000,00000000,00004dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7cdffff,bf7fae7f,fefffdfd,ffbffdf9,00000000,00000000,00000000,00000000,00004eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,d7efffff,bf7ff7bf,fdfffdff,fffffdfa,00000000,00000000,00000000,00000000,00004fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,b7efffff,bdfffeff,bcfffdfd,fbfffdfb,00000000,00000000,00000000,00000000,000050ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,d7ffefff,bffffefd,fdeffdcf,ffffbdfb,00000000,00000000,00000000,00000000,000051ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fff6ffbf,bfdbf6fe,fdfefffb,fdfffdfb,00000000,00000000,00000000,00000000,000052ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,feffffab,ffdffffe,fdef9fff,fffffbfb,00000000,00000000,00000000,00000000,000053ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,befefd3d,ff7ff7fb,fcefffff,ffffbffb,00000000,00000000,00000000,00000000,000054ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,7fffffff,feddfdbd,fffff7fc,fdffb5ff,ffffffdb,00000000,00000000,00000000,00000000,000055ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffdbd,ff77f6db,fd9fdfff,bfffbd7b,00000000,00000000,00000000,00000000,000056ff,00000000,00000000,00000000
00000000,ffffffff,fffffdff,ffffffff,fefffdbd,f7fff6fe,fdefffef,ffffbffb,00000000,00000000,00000000,00000000,000057ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,dfffffff,eeffec9d,ffff737f,fdffffff,fffffffb,00000000,00000000,00000000,00000000,000058ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffdb9,7ffff3ff,fdfffffd,fffdfffa,00000000,00000000,00000000,00000000,000059ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffd3d,bfeff7ff,fcffff5f,fff7ff7b,00000000,00000000,00000000,00000000,00005aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffdbd,77fff7fe,7dfbffff,ffffff7b,00000000,00000000,00000000,00000000,00005bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,feddfdb9,b7dff7ff,ffffdddf,fffdff7b,00000000,00000000,00000000,00000000,00005cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffd3d,bffff7fe,fbffcfff,ffffff7b,00000000,00000000,00000000,00000000,00005dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffdb5,fffff7f7,ffdfcfff,edbffffb,00000000,00000000,00000000,00000000,00005eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,7efffdbd,ffbff7fe,ffffdfff,ffffff7b,00000000,00000000,00000000,00000000,00005fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,de7dfcb7,fffdf3ff,fdffdfff,f7ffffeb,00000000,00000000,00000000,00000000,000060ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,feeffdb5,7bfff6ff,ffffdf77,ffffdff3,00000000,00000000,00000000,00000000,000061ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fef7bdb3,bffff7ff,efffdf7e,fffdfffb,00000000,00000000,00000000,00000000,000062ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fefffcb7,ffdff7ee,ffbf9ff7,befffffb,00000000,00000000,00000000,00000000,000063ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fffffdff,fefffdb7,7d7ff7fe,ffff9f3f,effeffdb,00000000,00000000,00000000,00000000,000064ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffdf,fefdfdb7,7fbbf7fe,ffffdfff,effffffb,00000000,00000000,00000000,00000000,000065ff,00000000,00000000,00000000
00000000,ffffffff,ffbfffff,ffffffff,cffdfdb7,bbedf7ff,fdffdfff,fff7ff5b,00000000,00000000,00000000,00000000,000066ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fbffffff,fffffdb7,9ffff7ff,fdff9eff,ffd7fffb,00000000,00000000,00000000,00000000,000067ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffffcb7,ffffb7ff,ffff9fff,fff7fffb,00000000,00000000,00000000,00000000,000068ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,def7ffb7,fffff6f7,ffffdfbf,fff7fbdf,00000000,00000000,00000000,00000000,000069ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fff7ffb5,fbfda7ff,7fbdffff,ffdffbbb,00000000,00000000,00000000,00000000,00006aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fe77ffb7,fffd97ef,7bbfffbf,fffffffb,00000000,00000000,00000000,00000000,00006bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fff7ffb7,fdfcb7ff,ffbffeef,fffffbfb,00000000,00000000,00000000,00000000,00006cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fff7fcb7,fffcbfff,7f7fffaf,ffeff7f3,00000000,00000000,00000000,00000000,00006dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,dff7ffb7,fefd7dbf,ff7fffbf,fbfff7fa,00000000,00000000,00000000,00000000,00006eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f77fffb3,feddfbff,ffedbfff,fffffbf2,00000000,00000000,00000000,00000000,00006fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7ffffb7,b6fdefff,ffbfbfde,ffff5ffa,00000000,00000000,00000000,00000000,000070ff,00000000,00000000,00000000
00000000,bfffffff,ffffffff,ffffffff,effffdb5,fcfdffff,c7bfbfbf,bfdfffda,00000000,00000000,00000000,00000000,000071ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ff7fffa7,fefddeff,efffbfff,bffffffa,00000000,00000000,00000000,00000000,000072ff,00000000,00000000,00000000
00000000,efffffff,ffffffff,ffffffff,ffffffb2,fefdfffe,fbefbfff,dbdffffa,00000000,00000000,00000000,00000000,000073ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,effeffbf,fffdf7ff,bbffbeef,ffed7ffe,00000000,00000000,00000000,00000000,000074ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,e7effa3f,fffdfd7f,ffffbfae,fefffffe,00000000,00000000,00000000,00000000,000075ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffffebf,eefff7bf,ffffbfef,bb7efff6,00000000,00000000,00000000,00000000,000076ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,e777fedf,fefffef7,f3ffbfaf,fffefffe,00000000,00000000,00000000,00000000,000077ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7fffeff,feffffff,9fdfbfaf,fffefffc,00000000,00000000,00000000,00000000,000078ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,b7fffedf,eefffffa,ffdfbfef,fbde7ffe,00000000,00000000,00000000,00000000,000079ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f77ffedf,fefbfffb,ffffbfcf,3ffefffb,00000000,00000000,00000000,00000000,00007aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f7bf5e8f,fefb7fff,ffffbfec,fffefff7,00000000,00000000,00000000,00000000,00007bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffffabb,faffffff,fffffffe,edfefbff,00000000,00000000,00000000,00000000,00007cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fffffff7,effffebf,fedbfbff,6efbfff7,fffefbf7,00000000,00000000,00000000,00000000,00007dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffdebf,effbffff,efff7ff7,fffcfbfe,00000000,00000000,00000000,00000000,00007eff,00000000,00000000,00000000
00000000,feffffff,ffffffff,ffffffff,ffbf7ebf,ffffffff,cfffffb7,fffcfbff,00000000,00000000,00000000,00000000,00007fff,00000000,00000000,00000000
00000000,fffbffff,ffffffff,ffffffff,fbefdebf,ffff7fff,efff7fbf,fffee273,00000000,00000000,00000000,00000000,000080ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,7feffead,ffffffff,efffffff,fffcfbfb,00000000,00000000,00000000,00000000,000081ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffff7eb7,bef7beff,efff7fdb,f7fffaf3,00000000,00000000,00000000,00000000,000082ff,00000000,00000000,00000000
00000000,efffffff,ffffffdf,ffffffff,ffebfab7,afffffff,effffffb,f6fefbff,00000000,00000000,00000000,00000000,000083ff,00000000,00000000,00000000
00000000,ffffffff,ffffffdf,ffffffff,ffef7eb7,feffffdf,effff7ef,fefe7bde,00000000,00000000,00000000,00000000,000084ff,00000000,00000000,00000000
00000000,ffffffff,ffffffdf,ffffffff,ffefeedf,ffeffbd7,6ffef7ff,dffffb7e,00000000,00000000,00000000,00000000,000085ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffeb7eff,fffffbff,effefffa,fffdf2fe,00000000,00000000,00000000,00000000,000086ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffeff6bf,fff7fbdb,efdffffa,febffbfe,00000000,00000000,00000000,00000000,000087ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffedfef7,fefffbf7,efffbf7f,ffdef3fe,00000000,00000000,00000000,00000000,000088ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffeffdff,fef7fbff,eefdef7e,fff7fbfa,00000000,00000000,00000000,00000000,000089ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffafefff,effffbff,efffff7e,bffef9be,00000000,00000000,00000000,00000000,00008aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffcfffff,ff7ff3fe,effffffa,fffffbfa,00000000,00000000,00000000,00000000,00008bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,feefdfef,fffffbff,efffffff,bffffbcf,00000000,00000000,00000000,00000000,00008cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffbf,ffefeaff,dffffbfb,efffffff,f7ffb9fe,00000000,00000000,00000000,00000000,00008dff,00000000,00000000,00000000
00000000,fffdffff,ffffffff,ffffffff,ffefee9f,fffbfbff,effffebf,77ffebff,00000000,00000000,00000000,00000000,00008eff,00000000,00000000,00000000
00000000,ffffffbf,ffffffff,ffffffff,ffefeefb,bf7ffbf7,effff7ff,f7fff3fb,00000000,00000000,00000000,00000000,00008fff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,ffeffefe,bfffdbff,ebffe7ef,d7fff3ab,00000000,00000000,00000000,00000000,000090ff,00000000,00000000,00000000
00000000,fffffffb,fdffffff,ffffffff,f7feeeff,bffffbff,efffeef6,f7fff9ff,00000000,00000000,00000000,00000000,000091ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,ffdffaff,fdfff3ff,ffffeedf,f3fff9ee,00000000,00000000,00000000,00000000,000092ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,ffffdefb,bd7ffbff,ffffdeff,d7fffbfb,00000000,00000000,00000000,00000000,000093ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,fffff2ff,fdffffff,efe7feff,f7fffbef,00000000,00000000,00000000,00000000,000094ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,7ffffeff,fddfffff,efeffebf,f7fffbdf,00000000,00000000,00000000,00000000,000095ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,fffffeff,ddfffffd,ffeffebf,f5fffbdf,00000000,00000000,00000000,00000000,000096ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,7ffffefb,fdff7fff,ffefeeff,f7ffbbff,00000000,00000000,00000000,00000000,000097ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,f7fffcff,ddff7fff,efeeeef7,f7fffbff,00000000,00000000,00000000,00000000,000098ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,ffdefe9f,fdfdffff,ffefffff,f5fffbff,00000000,00000000,00000000,00000000,000099ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,dfdabeff,fdfffffb,ff6fffef,f7eff9ff,00000000,00000000,00000000,00000000,00009aff,00000000,00000000,00000000
00000000,ffffffff,fdfdffff,ffffffff,fffafcff,fddffe77,efeffdef,f76ffbff,00000000,00000000,00000000,00000000,00009bff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,dffeeeff,bdfffffb,fbeffdff,f7fffbff,00000000,00000000,00000000,00000000,00009cff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,dffefeff,fdfffbf7,4f67febf,f7fffbff,00000000,00000000,00000000,00000000,00009dff,00000000,00000000,00000000
00000000,ffffffff,fdffff7f,ffffffff,fffff6ff,fdffffff,efeeffff,d3fffbdf,00000000,00000000,00000000,00000000,00009eff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,df7ff6bf,ddffffef,f6efffff,fb9fcbfb,00000000,00000000,00000000,00000000,00009fff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,fffffeff,dddfffed,ffeffff7,f3bfebfe,00000000,00000000,00000000,00000000,0000a0ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,fffaffff,fdfeffff,77efffaf,fb9ffbfe,00000000,00000000,00000000,00000000,0000a1ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,fffff7ff,f5ffafff,ffffffee,f9bfffff,00000000,00000000,00000000,00000000,0000a2ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,9ffeffff,fdffffbd,5ffdfeee,ebbf7fff,00000000,00000000,00000000,00000000,0000a3ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffbfffff,fffeffff,bdffefbf,7fffffff,f9bf77ff,00000000,00000000,00000000,00000000,0000a4ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,efbe6fbf,fddfffaf,fff7fffe,ebfddeff,00000000,00000000,00000000,00000000,0000a5ff,00000000,00000000,00000000
00000000,ffffffff,fdffffff,ffffffff,dffed7bf,ffffffbf,fff7ffff,fbbfdffd,00000000,00000000,00000000,00000000,0000a6ff,00000000,00000000,00000000
